,subj_idx,a,t,v_Intercept,v_M,v_S,z_Intercept,z_M,a_path
0,1,1.3325322494857672,1.374863107692906,-1.2284172035087342,-0.2297243160751754,0.26875524501625553,0.6046227275957526,0.013054858675646984,0.10644074938174451
1,10,1.3334139374375433,1.4614155813799117,-1.2246265745648015,-0.01320314320729414,0.12212631418045972,0.6434128464532556,0.000646705386056089,1.314037874545363
2,11,1.3351629207787497,1.307824775266126,-1.2273883153537404,0.08547569138601771,0.2186290376015123,0.551424842871865,0.0166290967876286,1.0487690183720078
3,12,1.3337825243616621,1.4479547023009625,-1.2220382696600527,-0.32959126759263563,-0.08438319670024941,0.45222311950243915,0.0038681473206887695,1.0414355429090734
4,13,1.3379413480772988,1.4864188056182317,-1.2258057283805468,-0.38579560750944175,0.2873406324220979,0.5923447713335817,0.014074598087773688,-0.1345220439051068
5,14,1.3361007000423042,1.495098668168605,-1.222965659714248,0.03086071369789123,0.123705791447944,0.45985882188456517,0.0017433754876385824,-0.037796898624906275
6,15,1.3399629285314612,1.395888682544681,-1.2255817428126181,0.2594556959834623,0.19065842208232303,0.48357718135898986,0.010609230763679624,-1.7617669409571053
7,16,1.3363332166981436,1.4466944317024872,-1.2237306950567073,-0.29402907389265054,0.10689724844589547,0.520830873921712,0.00837655896659752,1.8034624703369757
8,17,1.3315587924717962,1.4335898108035652,-1.2219759532649697,-0.3911913771215097,0.4296757912862643,0.49411099862622987,0.008493710173085658,-0.00685060330359594
9,18,1.3400683222305394,1.4128584621706877,-1.2278410781731282,-0.040154965580357325,0.12130056005088007,0.5172404425659359,-0.0009566117490994175,-2.136671550142262
10,19,1.3387228422968487,1.4387114198937518,-1.2273458963949528,-0.2004085410776511,-0.22262100195332257,0.4662552063358132,0.01847319869551363,-0.8205476167478052
11,2,1.3386697066818838,1.3937614926540332,-1.2281659422355928,-0.08511342121050584,0.28601555344474805,0.609637637500197,0.007087882760479279,-1.8951547707574312
12,20,1.3373074833673213,1.3495325548169452,-1.2235013347638988,-0.14194302581641832,0.23591984426335424,0.7681399363994862,0.02843890742723694,0.5837732931329759
13,21,1.3392545633876638,1.3601254161755085,-1.2289171764636473,0.1735898106132603,-0.16183192629707766,0.43615577303661707,0.012943364658276207,-0.4674398478589084
14,22,1.3335512718287728,1.4037234604092692,-1.2251091271412138,-0.06395367163857507,0.42652760613872664,0.6729547379907629,0.008467315712354434,0.964643464664254
15,23,1.332310566511296,1.4027747347657369,-1.2229106749516947,-0.24615910082799045,-0.058897295324582044,0.4994978579308578,0.003104480215626388,-1.6326635517019081
16,24,1.3361896947473815,1.4087497861988065,-1.228335869512165,0.14440214317565558,-0.22323393965388866,0.4782161039806242,0.008732105487370617,-0.39591352807230995
17,25,1.3388151689528927,1.341677105991913,-1.2250325582333377,-0.19492134509574738,0.12988244688984107,0.630600748819809,0.007063966156405054,0.3666375865186344
18,26,1.336791775191417,1.3937424781902839,-1.2230760808272885,-0.07010141536680894,0.2707697057170553,0.640796595979905,0.02064754766874581,-1.0133890068315055
19,27,1.3373230667800753,1.3539314590194471,-1.228357584712476,-0.3611442011649839,-0.030328695510572518,0.6817404658269826,0.013772311149846835,-1.4056405789580209
20,28,1.3371402352453865,1.3552567999281322,-1.2245013160615268,-0.17031216717040265,0.010720783091966335,0.48871791327245667,0.027664391667704315,-0.9931271734212952
21,29,1.3374476213184867,1.4876293182569924,-1.2307389790369119,0.08893601306546742,0.30122507905947415,0.6706764569236172,0.010986257906406156,0.7797375642002606
22,3,1.335770242061732,1.5020215141685362,-1.2184565859686032,0.01594826986977589,0.6589068977495819,0.6688151776157042,0.0028777999096983725,0.006008380346445117
23,30,1.335219991138246,1.4498424399122807,-1.224217106137564,-0.040339033221844005,-0.047439172075997516,0.5789721067086095,0.0029211487246934686,1.0035446722972998
24,4,1.3346202158575118,1.4604452446344445,-1.225400889261577,-0.3153196923936903,0.2451628960672233,0.53349460147807,0.030922589445474522,0.7415925739282986
25,5,1.3348564465394344,1.4705609689333672,-1.2233956419146312,-0.12897112221714985,0.39628965332237265,0.6062548081530437,0.02239515305146103,0.3961331732125161
26,6,1.3312518851397395,1.3721926251520324,-1.2312296522419997,-0.0296868938596984,-0.02174988976316858,0.47266599518231184,0.0118411873143391,-0.5740544300884093
27,7,1.3364334196913665,1.4172808937361148,-1.2268764828046324,-0.15893976968710238,0.5131304154642287,0.5506394779876935,0.0056958286602915,0.3307429702427634
28,8,1.3338975525118124,1.3900968527128685,-1.227037333476543,0.07442371110301918,-0.09598708461319932,0.5921364797756778,0.02439560192018979,-1.7930588904407887
29,9,1.3351977763461516,1.459113785292811,-1.2279946720255352,-0.2527197265682096,0.21436299613667426,0.7190198786532446,0.007435099583284331,1.0258525831531622
