,subj_idx,a,t,v_Intercept,v_S,z_Intercept,z_M,a_path
0,1,1.8879728686933799,0.9424017083879145,-0.11918855277040905,-1.285548137697143,0.5364354444372778,0.010732485413295603,0.10644074938174451
1,10,1.9632868017593332,0.7679577527443215,0.2350054030494976,-1.2653691213922327,0.6623049362661008,0.012267009305605385,1.314037874545363
2,11,1.7952025373821645,0.7876404167732148,-0.11513507275320453,-1.2156314825073318,0.5903691529848405,0.01445466507538021,1.0487690183720078
3,12,1.8711490759916634,0.6676774035350702,-0.1894275499756252,-1.275300231340817,0.6645365633639891,0.015226900100926283,1.0414355429090734
4,13,1.7508323974815654,1.0563583712441649,-0.0184588519683718,-1.1596877896193438,0.6860315367400486,0.015025852785636548,-0.1345220439051068
5,14,1.822030989119804,1.0058558296666182,-0.06863580218938337,-1.1895723743340922,0.43952268163005503,0.016232475144350347,-0.037796898624906275
6,15,1.998009499421973,1.1558187909117033,0.13806282244356624,-1.2193533979785303,0.6214660123876051,0.009208549212679735,-1.7617669409571053
7,16,1.8118233025509276,0.9591581398232155,-0.009391881065988691,-1.2111375867113947,0.5934686499900618,0.01383193798543551,1.8034624703369757
8,17,1.9201939195962034,1.0644288411398337,0.0870094138251302,-1.1431363580828122,0.6791641595678237,0.017025329890691016,-0.00685060330359594
9,18,1.6098253627847385,0.865008797159089,-0.22823016070957616,-1.2608026262616858,0.5032289898808859,0.007570468872954844,-2.136671550142262
10,19,2.091794702696239,1.0662461664002258,0.1284842586557936,-1.1108043315896656,0.515412859024711,0.01088844744452377,-0.8205476167478052
11,2,1.8617456944771291,0.763388268020696,-0.17589771019125494,-1.2348852900891047,0.5766092992233168,0.019433545852805524,-1.8951547707574312
12,20,2.056951672303124,0.9141902551191938,0.028571852658277726,-1.2163739604070682,0.5806318557794445,0.017704882224014427,0.5837732931329759
13,21,1.90238762952288,0.9494561395353384,0.10538452623760411,-1.227718086261024,0.5715991437793239,0.00959255289002807,-0.4674398478589084
14,22,1.69106999991872,0.8386736114965553,-0.010601653353707642,-1.2270603269348426,0.5933931056392902,0.015310983108430567,0.964643464664254
15,23,1.8576716168556529,0.976289126836923,0.10040327392075235,-1.313538271205177,0.5497723847985223,0.012784430116194278,-1.6326635517019081
16,24,2.0267476005351073,0.9580097062704581,-0.26070362505117883,-1.2332282803742352,0.501339874628037,0.009888413988231442,-0.39591352807230995
17,25,1.8972337358895404,0.8686089928414606,0.1156613128210725,-1.217862996951638,0.5897990471673769,0.007589991884568624,0.3666375865186344
18,26,1.756157919747852,1.1204697908826005,-0.07605541111565903,-1.223222469080769,0.7015812580534694,0.009965587316551703,-1.0133890068315055
19,27,1.817636988749731,1.0146235595216402,0.07555236733473791,-1.200547888809269,0.5076289477377101,0.011294889629400938,-1.4056405789580209
20,28,1.752150415862571,0.8859573108996811,-0.1494426344908443,-1.230002742825292,0.5856502267931177,0.007188520163609385,-0.9931271734212952
21,29,1.7705809150587097,0.8553748534606103,-0.13139905361612667,-1.226558091254826,0.441097095242751,0.016377973194853936,0.7797375642002606
22,3,1.7587180720212041,0.7356684715138189,0.038487019589813466,-1.3493077844820551,0.5314414164526715,0.01979405293682436,0.006008380346445117
23,30,1.6770186753521443,0.9787266330644887,-0.03389310112237269,-1.2378639517501757,0.48675928530313284,0.015759629717342204,1.0035446722972998
24,4,1.9403857253667762,0.8132828549368397,-0.17775098372730544,-1.2387546864491508,0.5617548413889081,0.015941816718505444,0.7415925739282986
25,5,2.003386715032161,0.8028991622635018,-0.21938133000029786,-1.2458758646536492,0.5580894765895946,0.008593932655567502,0.3961331732125161
26,6,1.8347850708949924,1.0782424244376725,-0.06368242195710819,-1.2390945559430564,0.7009678271379274,0.0062234501880378355,-0.5740544300884093
27,7,2.021945625669325,0.9427076439397658,-0.26228710285111534,-1.1976655669804406,0.5146879648058273,0.014297723024900493,0.3307429702427634
28,8,1.9627148880589234,0.9623478225236178,-0.19947871007161982,-1.1966708246247255,0.6853889268975054,0.013605125918921698,-1.7930588904407887
29,9,1.961684914828599,0.6812710859198936,0.04514987619752985,-1.247726510423457,0.3969277831092667,0.012699631594262429,1.0258525831531622
