,subj_idx,v_Intercept,v_S,v_X,z_Intercept,a_path
0,1,0.6887869532572375,0.4964901983802371,1.0019479014594959,0.515304930035367,0.636724490578779
1,10,0.5527451761159793,1.3397593051718206,0.5911191568955638,0.5246697858656736,0.6424925913465076
2,11,0.9254302252831869,0.34337182478570405,-0.6522485351968531,0.5342584164557319,0.20913407380287152
3,12,0.44818329437398163,-0.03335529189328407,0.9376731022782802,0.5313953965355974,0.4750238828532399
4,13,0.5118585891399231,0.014656607468111704,-0.08073699854486899,0.5133687585742023,-0.6830229091805666
5,14,0.49025243275169256,0.03216176631220158,0.5895952998934796,0.5474530855428738,-1.2290267217689714
6,15,0.4392064896494194,-0.2539858840728807,-0.20220967923591693,0.5258286709153687,-2.2106051583348916
7,16,0.3108938280550487,0.15065229469717198,0.7137951627468753,0.5182812910334345,2.210170715353927
8,17,0.6259267395386974,-0.03373194317701661,1.0816762695662208,0.5307788727430501,-0.33284944249852677
9,18,0.4536016197493993,0.01298633689332962,0.7079416918780848,0.507951939010569,-0.7669741229167618
10,19,0.5802448006532833,-0.17621467651588796,0.998435367281832,0.5399996557416469,-0.022129798240295
11,2,0.6089216795420727,-0.2220422541805801,-0.014439159509590016,0.5309410467597306,-1.9916174565462808
12,20,0.7468086543701433,0.4865517918521376,-0.36213498105514264,0.5424737427071545,-0.7367068350774505
13,21,0.6166885400261439,1.5418397670692392,0.23704978343633779,0.4970999640424924,-0.7027863304752117
14,22,0.5121858322901662,0.5069254990068992,-0.03449963071808926,0.5269757301982864,-0.13572704100753316
15,23,0.6047717557600295,0.5523630244133205,-0.17285338217416835,0.5298564147461609,-0.7998435256664695
16,24,0.44178842617974334,-0.35781459945083016,0.008673755476959671,0.5113794466530153,-0.29140164981058003
17,25,0.6438601357451128,0.021718227881598384,0.7520870663677032,0.529364581288618,-1.0555072447672145
18,26,0.4076536895162874,0.3357258022894878,-0.6226264993263899,0.5258018921237648,0.058396979424979775
19,27,0.6414927535745579,0.2262676620264312,0.010572926514186898,0.5086550624627588,0.7671354857039906
20,28,0.5692294740395606,-0.2666287326396489,-0.5184725304779553,0.5230106464451859,0.8741030075618152
21,29,0.7538745846410078,-0.06030675825870796,0.09719825384837846,0.5151237447334008,-0.7039875606187472
22,3,0.45663195260310996,0.5313584447747016,-0.45375490517787387,0.5035054583712292,0.794735265231592
23,30,0.6969290487724654,0.5326773074330441,0.9896241074254883,0.5174295032769161,0.16564064345965795
24,4,0.46355626865612914,1.0535256415132275,0.39751769768757456,0.5276656660890647,-0.9237208122084576
25,5,0.6618035269965593,0.12843019361928273,0.9538451524500853,0.5041306646908553,-0.7031370904894243
26,6,0.5640145235059554,-0.9974910773364467,0.19214913109599394,0.5330015507306355,-0.21159267377675364
27,7,0.5855676615397827,0.24740857179374776,-0.48976066827877096,0.5160170037479113,1.411461357836405
28,8,0.427719151130447,0.43063175581567376,0.817886278715952,0.5183254638741426,-0.5260336115817414
29,9,0.5699283042088212,-0.11283194256901907,-0.13704220690535407,0.5053762171224455,-0.22774811077518406
