,subj_idx,a,t,v_Intercept,v_S,z_Intercept,z_M,z_X
0,1,1.9299299022389418,1.5958120180969495,0.2488831359029064,-1.0534683355291996,0.42924970614784064,0.002803698166124453,-0.03934562134638859
1,10,1.9925525855456858,1.6409939891241152,-0.13505244833210872,0.5647095247302558,0.44118689634080077,-0.002349298720434434,-0.017901979906784403
2,11,1.8727998200781868,1.5973104062106105,0.2049397488528425,0.5277980288320387,0.4075860906096234,0.0033326938717105235,0.011434362936174398
3,12,2.0476107277939626,1.5730617483360496,-0.570615553404785,0.6497278279257671,0.41034758409343786,0.012231149338287572,-0.01317453121875211
4,13,1.7391102585287597,1.5805025295136947,0.025864605958493846,0.34672752939224605,0.4264923533317996,-0.0056065863590364345,-0.1282829513408527
5,14,2.0333467557629934,1.576334798060888,-0.11614997071401625,0.3890532248080398,0.4228899829523479,0.0016735313858556875,-0.06172080186136179
6,15,2.06929512388319,1.6332056093052045,-0.059908277034351635,-0.5520359667662967,0.44583856310252434,0.013841585893013493,-0.05556666588258437
7,16,2.16038878267843,1.626125580326903,-0.4579733683293955,0.8205210338301552,0.38708233921967294,0.0029298710223458575,-0.13217062631521453
8,17,1.9692322174306696,1.6191095221284582,0.5054034503678062,0.0065477469572410366,0.38512458809153644,0.01471765146629484,0.013455620081686326
9,18,1.844959663180469,1.6225732942793683,-0.05086845206913151,0.9228989691420042,0.40923842565924695,0.0020676892944404574,-0.012757291442654604
10,19,2.0658206109674184,1.580477172736358,-0.3365789429346633,-0.1190813421966237,0.40647869329829156,0.004701684027320822,-0.030839644963671458
11,2,2.045869954739832,1.5882374541777367,0.132895629131449,-0.49750088149083527,0.4403280048317425,0.00033718443742722197,0.0589351921385526
12,20,1.8816991805644039,1.6062011614037144,0.028384471882925928,-0.4041284667437741,0.3667686678993995,0.006383563666875266,-0.03472841338616083
13,3,1.9487227415465571,1.620136058102187,0.40230130463014313,-0.667494741163743,0.39516552430241736,0.012346053664196319,-0.06255713498594985
14,4,1.986458841698407,1.5738646109447174,0.25737414949693227,1.5270467359674333,0.42217421113465803,0.0007991241110014589,0.020720055958495576
15,5,2.0736220400291394,1.6634326205266623,0.11355832245979684,-1.006327931368195,0.39679441971259827,0.01633290115245205,-0.053030583306093663
16,6,1.9931164266780035,1.6146666624687083,0.5161340472245979,-0.6463445205348327,0.4321313709366744,0.015170731284402595,-0.1419222889455874
17,7,1.9252339699473686,1.5707393133014165,0.528337203695668,1.4434421041813135,0.38227936886425234,0.010669618716150468,-0.03172118235868089
18,8,1.957537496198232,1.5924237383746789,1.1517051486296321,0.3633075504193598,0.3954960588306383,0.003786467870465479,0.006559147852725926
19,9,2.0045689830906843,1.6825035415497551,0.18446348615077882,-0.6399471101280743,0.39723737822842153,0.010127493488027238,-0.08251130052135693
